query_id,subject_id,scientific_name,perc_identity,alignment_length,mismatches,gap_opens,query_start,query_end,subject_start,subject_end,evalue,bit_score
job.pdb,AF-Q8XE87-F1-model_v4 Thiamine-monophosphate kinase,Escherichia coli O157:H7,84.400,321,50,0,1,321,3,323,1.000,1.519E-58
job.pdb,AF-P0AGG0-F1-model_v4 Thiamine-monophosphate kinase,Escherichia coli K-12,84.400,321,50,0,1,321,3,323,1.000,1.614E-58
job.pdb,AF-P0AGG1-F1-model_v4 Thiamine-monophosphate kinase,Escherichia coli CFT073,84.400,321,50,0,1,321,3,323,1.000,1.937E-58
job.pdb,AF-P55881-F1-model_v4 Thiamine-monophosphate kinase,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,83.800,321,52,0,1,321,3,323,1.000,2.963E-58
job.pdb,AF-P57532-F1-model_v4 Thiamine-monophosphate kinase,Buchnera aphidicola str. APS (Acyrthosiphon pisum),48.900,321,164,0,1,321,3,323,1.000,3.385E-45
job.pdb,AF-Q57190-F1-model_v4 Thiamine-monophosphate kinase,Haemophilus influenzae Rd KW20,51.500,328,147,5,1,321,3,325,1.000,5.179E-45
job.pdb,AF-Q8K9A5-F1-model_v4 Thiamine-monophosphate kinase,Buchnera aphidicola str. Sg (Schizaphis graminum),49.200,321,163,0,1,321,3,323,1.000,4.062E-45
job.pdb,AF-Q9A8J2-F1-model_v4 Thiamine-monophosphate kinase,Caulobacter vibrioides CB15,35.700,333,187,8,1,319,32,351,1.000,6.607E-34
job.pdb,AF-O05514-F1-model_v4 Thiamine-monophosphate kinase,Bacillus subtilis subsp. subtilis str. 168,34.100,328,206,8,1,321,1,325,1.000,2.855E-32
job.pdb,AF-O27447-F1-model_v4 Thiamine-monophosphate kinase,Methanothermobacter thermautotrophicus str. Delta H,32.100,330,201,13,2,321,9,325,1.000,1.104E-28
job.pdb,AF-Q54757-F1-model_v4 Thiamine-monophosphate kinase,Synechococcus elongatus PCC 7942 = FACHB-805,34.000,335,177,16,5,321,17,325,1.000,1.496E-28
job.pdb,AF-O67883-F1-model_v4 Thiamine-monophosphate kinase,Aquifex aeolicus VF5,31.200,326,191,12,2,320,7,306,1.000,2.747E-28
job.pdb,AF-O59497-F1-model_v4 Thiamine-monophosphate kinase,Pyrococcus horikoshii OT3,29.300,300,188,9,24,319,21,300,1.000,1.261E-26
job.pdb,AF-A9A3T2-F1-model_v4 Thiamine-monophosphate kinase,Nitrosopumilus maritimus SCM1,22.800,328,225,12,1,321,4,310,1.000,3.763E-26
job.pdb,AF-P9WG71-F1-model_v4 Thiamine-monophosphate kinase,Mycobacterium tuberculosis H37Rv,29.200,328,202,15,2,321,19,324,1.000,6.908E-26
job.pdb,AF-P9WG70-F1-model_v4 Thiamine-monophosphate kinase,Mycobacterium tuberculosis CDC1551,29.200,328,202,16,2,321,19,324,1.000,5.757E-26
job.pdb,AF-Q9V1N8-F1-model_v4 Thiamine-monophosphate kinase,Pyrococcus abyssi GE5,28.000,324,196,12,4,321,11,303,1.000,5.418E-26
