query_id,subject_id,scientific_name,perc_identity,alignment_length,mismatches,gap_opens,query_start,query_end,subject_start,subject_end,evalue,bit_score
job.pdb,AF-A0A0H3FSL2-F1-model_v4 Thiamine-monophosphate kinase,Klebsiella aerogenes KCTC 2190,92.200,321,25,0,1,321,3,323,1.000,4.386E-60
job.pdb,AF-A0A7U5UFA8-F1-model_v4 Thiamine-monophosphate kinase,Enterobacter cloacae complex sp.,82.800,321,55,0,1,321,3,323,1.000,3.081E-58
job.pdb,AF-W1DNJ1-F1-model_v4 Thiamine-monophosphate kinase,Klebsiella pneumoniae IS43,97.900,291,6,0,31,321,25,315,1.000,2.596E-56
job.pdb,AF-A0A2X1TER1-F1-model_v4 Thiamine-monophosphate kinase,Morganella morganii,68.200,321,102,0,1,321,3,323,1.000,8.945E-52
job.pdb,AF-A0A6M8RG92-F1-model_v4 Thiamine-monophosphate kinase,Proteus vulgaris,68.200,321,102,0,1,321,3,323,1.000,2.364E-51
job.pdb,AF-A0A6H0T6A7-F1-model_v4 Thiamine-monophosphate kinase,Pasteurellaceae bacterium RH1A,54.300,322,134,6,1,321,1,310,1.000,8.753E-45
job.pdb,AF-A6VPE7-F1-model_v4 Thiamine-monophosphate kinase,Actinobacillus succinogenes 130Z,48.600,331,159,6,1,321,2,331,1.000,2.949E-44
job.pdb,AF-A0A534A0K3-F1-model_v4 Thiamine-monophosphate kinase,Gammaproteobacteria bacterium,47.700,329,156,7,1,321,3,323,1.000,9.939E-44
job.pdb,AF-A0A1E3GD85-F1-model_v4 Thiamine-monophosphate kinase,Piscirickettsia litoralis,46.700,325,167,5,1,320,12,335,1.000,4.537E-43
job.pdb,AF-A0A846HUU2-F1-model_v4 Thiamine-phosphate kinase,Halochromatium sp.,50.900,322,151,4,1,321,1,316,1.000,8.851E-43
job.pdb,AF-A0A3M1UGL6-F1-model_v4 Thiamine-monophosphate kinase,Gammaproteobacteria bacterium,48.000,327,160,6,1,320,2,325,1.000,6.148E-43
job.pdb,AF-A0A3D0LSG0-F1-model_v4 Thiamine-phosphate kinase,Betaproteobacteria bacterium,45.800,323,163,6,2,320,3,317,1.000,1.835E-42
job.pdb,AF-A0A521RC64-F1-model_v4 Thiamine-monophosphate kinase,Gammaproteobacteria bacterium,45.600,322,169,5,1,320,3,320,1.000,6.981E-42
job.pdb,AF-K1ZXQ3-F1-model_v4 Thiamine-monophosphate kinase,uncultured bacterium,49.300,322,151,7,1,320,1,312,1.000,1.005E-41
job.pdb,AF-A0A4R6UVY5-F1-model_v4 Thiamine-monophosphate kinase,Permianibacter aggregans,45.600,322,172,2,2,321,3,323,1.000,1.447E-41
job.pdb,AF-A0A3B0ZZC9-F1-model_v4 Thiamine-monophosphate kinase,hydrothermal vent metagenome,42.500,327,169,6,2,321,4,318,1.000,3.803E-42
job.pdb,AF-A0A318CB42-F1-model_v4 Thiamine-monophosphate kinase,Pokkaliibacter plantistimulans,46.800,322,167,4,1,320,3,322,1.000,3.387E-41
job.pdb,AF-A0A1G4WQQ8-F1-model_v4 Thiamine-monophosphate kinase,Nitrosomonas eutropha,44.600,334,163,8,1,321,2,326,1.000,1.281E-41
job.pdb,AF-A0A381Q3F3-F1-model_v4 Uncharacterized protein,marine metagenome,40.200,323,183,5,1,320,1,316,1.000,1.960E-41
